node_id,x_m,y_m,lon,lat
center,0.0,0.0,-113.4938,53.5461
n_1_0,640.0,0.0,-113.48412409029788,53.5461
n_2_0,1280.0,0.0,-113.47444818059577,53.5461
n_3_0,1920.0,0.0,-113.46477227089366,53.5461
n_4_0,2560.0,0.0,-113.45509636119155,53.5461
n_5_0,3200.0,0.0,-113.44542045148944,53.5461
n_1_1,452.54833995939043,452.54833995939043,-113.48695809863548,53.55019397810711
n_2_1,905.0966799187809,905.0966799187809,-113.48011619727097,53.55428795621421
n_3_1,1357.6450198781713,1357.6450198781713,-113.47327429590646,53.55838193432132
n_4_1,1810.1933598375617,1810.1933598375617,-113.46643239454195,53.562475912428425
n_5_1,2262.741699796952,2262.741699796952,-113.45959049317744,53.566569890535526
n_1_2,3.9188697572715304e-14,640.0,-113.4938,53.55188975936313
n_2_2,7.837739514543061e-14,1280.0,-113.4938,53.55767951872625
n_3_2,1.1756609271814592e-13,1920.0,-113.4938,53.56346927808938
n_4_2,1.5675479029086122e-13,2560.0,-113.4938,53.56925903745251
n_5_2,1.9594348786357651e-13,3200.0,-113.4938,53.575048796815636
n_1_3,-452.5483399593904,452.54833995939043,-113.5006419013645,53.55019397810711
n_2_3,-905.0966799187808,905.0966799187809,-113.50748380272901,53.55428795621421
n_3_3,-1357.645019878171,1357.6450198781713,-113.51432570409352,53.55838193432132
n_4_3,-1810.1933598375615,1810.1933598375617,-113.52116760545803,53.562475912428425
n_5_3,-2262.7416997969517,2262.741699796952,-113.52800950682254,53.566569890535526
n_1_4,-640.0,7.837739514543061e-14,-113.5034759097021,53.5461
n_2_4,-1280.0,1.5675479029086122e-13,-113.51315181940421,53.5461
n_3_4,-1920.0,2.3513218543629184e-13,-113.52282772910633,53.5461
n_4_4,-2560.0,3.1350958058172243e-13,-113.53250363880844,53.5461
n_5_4,-3200.0,3.9188697572715303e-13,-113.54217954851055,53.5461
n_1_5,-452.54833995939055,-452.5483399593904,-113.5006419013645,53.542006021892895
n_2_5,-905.0966799187811,-905.0966799187808,-113.50748380272901,53.537912043785795
n_3_5,-1357.6450198781715,-1357.645019878171,-113.51432570409352,53.53381806567869
n_4_5,-1810.1933598375622,-1810.1933598375615,-113.52116760545803,53.52972408757158
n_5_5,-2262.7416997969526,-2262.7416997969517,-113.52800950682254,53.52563010946448
n_1_6,-1.175660927181459e-13,-640.0,-113.4938,53.54031024063688
n_2_6,-2.351321854362918e-13,-1280.0,-113.4938,53.53452048127375
n_3_6,-3.526982781544377e-13,-1920.0,-113.4938,53.52873072191063
n_4_6,-4.702643708725836e-13,-2560.0,-113.4938,53.522940962547494
n_5_6,-5.878304635907295e-13,-3200.0,-113.4938,53.51715120318437
n_1_7,452.5483399593903,-452.54833995939055,-113.48695809863548,53.542006021892895
n_2_7,905.0966799187806,-905.0966799187811,-113.48011619727097,53.537912043785795
n_3_7,1357.6450198781708,-1357.6450198781715,-113.47327429590646,53.53381806567869
n_4_7,1810.1933598375613,-1810.1933598375622,-113.46643239454195,53.52972408757158
n_5_7,2262.7416997969517,-2262.7416997969526,-113.45959049317744,53.52563010946448
